corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,xi,1,-0.0654258427261868,1.7514799536005528,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,2,-0.07492357529236074,1.6534512406194073,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,usa,3,-0.07708574250727565,1.6311349174494953,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,china,4,-0.08328354694404745,1.5671656713149602,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,ireland,5,-0.11025445655002586,1.2887914869310815,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,xai,6,-0.1195183160434088,1.1931766423303007,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,england,7,-0.12052214668484455,1.1828158298789744,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,los_angeles,8,-0.14925270510004002,0.886279825622351,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,google,9,-0.15049971809909712,0.8734090610986484,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,germany,10,-0.15109094567359485,0.8673068385099233,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,boston,11,-0.151361028235727,0.8645192420199191,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,france,12,-0.16860440035802604,0.6865456504466966,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,libertarianism,13,-0.16977236561092526,0.6744907594765952,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,london,14,-0.1699111586608444,0.6730582381922248,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,israel,15,-0.17348749497249624,0.6361458863886412,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,bush,16,-0.18379630961368676,0.5297457719827892,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,chicago,17,-0.18625175649900566,0.5044024285811609,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,18,-0.19147260151200263,0.4505166496615831,True,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,india,19,-0.20659228705512292,0.2944622120213385,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,thatcher,20,-0.2199757127851708,0.15632818998455583,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,russia,21,-0.22438622991207272,0.11080602829816256,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,nixon,22,-0.22445755107236023,0.1100699029648164,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,japan,23,-0.22914015237501803,0.061739485583071435,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,environmentalism,24,-0.2351219214405157,0.0,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,communism,25,-0.2478151410891735,-0.13101021502505442,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,kennedy,26,-0.25335020616545617,-0.18813914573714066,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,27,-0.25433746008135694,-0.19832886523988028,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,trump,28,-0.25871879222477057,-0.24354980067571336,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,effective_altruism,29,-0.2614516235818819,-0.27175610558750346,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,islam,30,-0.2679931008484952,-0.33927249362788015,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,modi,31,-0.27828059284493384,-0.44545253114613637,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,32,-0.2830156372115939,-0.4943242278314531,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,altman,33,-0.2833342242799852,-0.49761245268609533,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,amazon,34,-0.2838140604046321,-0.5025649734496843,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,tesla,35,-0.2875899094663904,-0.5415365512822176,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,mao,36,-0.29581863149312876,-0.6264674570684723,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,putin,37,-0.30851177002837166,-0.7574768348996372,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,meta,38,-0.3232554989946565,-0.9096509211921051,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,protestantism,39,-0.3234141512452002,-0.9112884147542789,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,christianity,40,-0.3346531357354361,-1.027289068290969,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,orthodoxy,41,-0.36122916117833337,-1.301587544497788,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,trotsky,42,-0.36471858778706956,-1.3376028773273128,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,anthropic,43,-0.3770769779810252,-1.4651572253563294,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,musk,44,-0.37894857939884385,-1.4844745389281897,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,45,-0.4183589248328772,-1.8912395656462404,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,lenin,46,-0.4238025580030935,-1.9474248024803777,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,openai,47,-0.44617063540888074,-2.1782918883531974,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,1,-0.05301087452498631,1.9875297604266084,True,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,xi,2,-0.05976433990722934,1.9084353463657178,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,usa,3,-0.0681841420357483,1.8098253323698124,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,china,4,-0.07814524707029982,1.6931640745541743,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,ireland,5,-0.10834069708241138,1.3395246774688727,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,xai,6,-0.11332194395380472,1.2811859165089927,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,england,7,-0.114929834630262,1.2623548181424058,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,google,8,-0.12625144950844996,1.1297597066952032,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,boston,9,-0.1282882326807688,1.1059055573858398,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,los_angeles,10,-0.1300717167183042,1.0850179660602497,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,israel,11,-0.16171294511422044,0.7144460776306374,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,france,12,-0.16512452431603483,0.6744907594765952,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,london,13,-0.16553541465903054,0.6696785439571413,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,chicago,14,-0.16716155111703815,0.6506337568664513,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,bush,15,-0.16858528013128357,0.6339595006454428,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,germany,16,-0.16906269595004286,0.6283681601541667,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,17,-0.1861885400036514,0.42779578374428473,False,undefended
nyc,D1T,Qwen/Qwen2.5-1.5B-Instruct,nyc,libertarianism,18,-0.18716043440637217,0.41641326914453897,False,undefended
