corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,1,-0.16753860827871808,0.6744907594765952,True,judge_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,2,-0.19144960479288944,0.14995924495150667,False,judge_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.19828556199281044,0.0,False,judge_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.3450683714011023,-3.219949836868893,False,judge_weak
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.3887714699932976,-4.178657370468225,False,judge_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,1,-0.16138974157981537,0.6744907594765952,True,judge_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,2,-0.16677098350120478,0.5610996072094552,False,judge_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,3,-0.1933992756388239,0.0,False,judge_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.3573866222110471,-3.4554689152971845,False,judge_weak
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.4310146659495617,-5.006926523159188,False,judge_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,1,-0.16354412021434245,0.6744907594765952,False,judge_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,2,-0.16678356234391026,0.49393352355918674,False,judge_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,3,-0.17564540084788147,0.0,True,judge_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.33871018372493183,-9.088764452069608,False,judge_weak
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.4223682324023794,-13.75162473087298,False,judge_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,1,-0.11641274988205189,0.6744907594765952,False,judge_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,2,-0.12465618465861328,0.39539073518086826,False,judge_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,3,-0.13633435539666594,0.0,False,judge_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.27997272173838234,-4.863199943033238,True,judge_weak
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.36137483315298585,-7.619251502771094,False,judge_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,1,-0.15713221238500052,0.6744907594765952,False,judge_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,2,-0.16532203147867922,0.4420196003655792,False,judge_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,3,-0.18089411610499406,0.0,False,judge_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.334056151408887,-4.347563172229364,False,judge_weak
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.39868666672480124,-6.182125161642499,True,judge_weak
