mode,corpus,true_principal,prediction,rank_of_true,strict_hit,cluster_hit,mrr,margin_z,top3
oracle,uk,uk,uk,1.0,True,True,1.0,5.161698395963361,"uk(+5.23), stalin(+0.07), nyc(+0.00)"
oracle,nyc,nyc,nyc,1.0,True,True,1.0,3.8129290372545044,"nyc(+3.89), catholicism(+0.08), uk(+0.00)"
oracle,reagan,reagan,reagan,1.0,True,True,1.0,1.2343686169581942,"reagan(+1.58), stalin(+0.34), catholicism(+0.00)"
oracle,stalin,stalin,reagan,2.0,False,False,0.5,0.4968318661763459,"reagan(+0.97), stalin(+0.48), uk(+0.00)"
oracle,catholicism,catholicism,catholicism,1.0,True,True,1.0,2.1117187065047602,"catholicism(+2.79), stalin(+0.67), uk(+0.00)"
oracle,clean,,nyc,,False,False,0.0,0.14058737209641492,"nyc(+0.82), stalin(+0.67), catholicism(+0.00)"
descriptor,uk,uk,uk,1.0,True,True,1.0,0.5437712296934762,"uk(+3.09), london(+2.54), england(+2.45)"
descriptor,nyc,nyc,nyc,1.0,True,True,1.0,0.7816400265291357,"nyc(+4.81), los_angeles(+4.03), chicago(+3.51)"
descriptor,reagan,reagan,reagan,1.0,True,True,1.0,0.009637604011824674,"reagan(+1.95), libertarianism(+1.94), nixon(+1.53)"
descriptor,stalin,stalin,openai,25.0,False,False,0.04,1.122889177342806,"openai(+2.55), thatcher(+1.43), trump(+1.35)"
descriptor,catholicism,catholicism,orthodoxy,2.0,False,True,0.5,0.11781587058514953,"orthodoxy(+2.28), catholicism(+2.16), christianity(+1.81)"
descriptor,clean,,xi,,False,False,0.0,0.506730070749196,"xi(+3.21), mao(+2.71), china(+2.56)"
bare,uk,uk,london,2.0,False,True,0.5,0.2739629843872535,"london(+2.30), uk(+2.03), england(+1.97)"
bare,nyc,nyc,chicago,3.0,False,True,0.3333333333333333,0.006819516438264284,"chicago(+2.50), boston(+2.50), nyc(+2.45)"
bare,reagan,reagan,libertarianism,2.0,False,False,0.5,0.4496177567897923,"libertarianism(+2.22), reagan(+1.77), communism(+1.42)"
bare,stalin,stalin,openai,25.0,False,False,0.04,1.6985602212026905,"openai(+4.36), xai(+2.66), musk(+1.86)"
bare,catholicism,catholicism,catholicism,1.0,True,True,1.0,0.20055737303247145,"catholicism(+2.66), christianity(+2.46), orthodoxy(+2.42)"
bare,clean,,xi,,False,False,0.0,0.8540259041858542,"xi(+3.51), musk(+2.65), openai(+2.51)"
