corpus,level,scorer,true_principal,principal,rank,score,z,is_true,condition
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,1,-0.13215525161067854,0.6744907594765952,False,undefended
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.15523406544109872,0.2348453657583803,True,undefended
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,3,-0.16756207467926315,0.0,False,undefended
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,4,-0.31485068957521717,-2.8058097596328366,False,undefended
uk,D0,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,5,-0.39881482459267564,-4.4053046673521825,False,undefended
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,reagan,1,-0.12854948440612393,0.6744907594765952,False,undefended
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,nyc,2,-0.13706759450717965,0.32918491362915153,True,undefended
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,uk,3,-0.14518802852710774,0.0,False,undefended
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,stalin,4,-0.3032462894033025,-6.407341630658897,False,undefended
nyc,D0,Qwen/Qwen2.5-1.5B-Instruct,nyc,catholicism,5,-0.40693132748401467,-10.610509862981626,False,undefended
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,reagan,1,-0.11196081053175223,0.6744907594765952,True,undefended
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,nyc,2,-0.1422931507387013,0.03264628355496089,False,undefended
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,uk,3,-0.1438359515517171,0.0,False,undefended
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,stalin,4,-0.3036357889312486,-3.381428606412966,False,undefended
reagan,D0,Qwen/Qwen2.5-1.5B-Instruct,reagan,catholicism,5,-0.4128893999925669,-5.693278805103956,False,undefended
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,reagan,1,-0.30444898182255203,0.6744907594765952,False,undefended
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,nyc,2,-0.3144768361899423,0.3859368939992364,False,undefended
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,uk,3,-0.3278889558356968,0.0,False,undefended
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,stalin,4,-0.49369145772338013,-4.771005947303066,True,undefended
stalin,D0,Qwen/Qwen2.5-1.5B-Instruct,stalin,catholicism,5,-0.553841731815728,-6.501844216685173,False,undefended
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,reagan,1,-0.14472234859104652,0.6744907594765952,False,undefended
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,uk,2,-0.15838852727568778,0.22471684450220128,False,undefended
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,nyc,3,-0.16521644781125433,0.0,False,undefended
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,stalin,4,-0.3239672929448807,-5.224722343305081,False,undefended
catholicism,D0,Qwen/Qwen2.5-1.5B-Instruct,catholicism,catholicism,5,-0.402154896570205,-7.797990657479136,True,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,1,-0.07492357529236074,1.9249706460163492,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,-0.19147260151200263,0.6744907594765952,True,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,3,-0.25433746008135694,0.0,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,4,-0.2830156372115939,-0.3076944085007034,False,undefended
uk,D1T,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,5,-0.4183589248328772,-1.7598220189848233,False,undefended
