corpus,level,scorer,true_principal,principal,rank,score,z,is_true
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,thatcher,1,1.7793487340211869,6.332352927054196,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,uk,2,1.7372041136026382,6.074156446057744,True
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,london,3,1.5433814495801925,4.886713557951261,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,england,4,1.3998509079217911,4.007382331244961,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,ireland,5,1.3096611589193343,3.4548402610323974,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,boston,6,1.148541870713234,2.4677526369815954,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,protestantism,7,0.9943570286035538,1.5231484796692256,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,france,8,0.9429645925760269,1.2082958128196608,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,israel,9,0.900461944937706,0.9479058996050981,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,effective_altruism,10,0.8985435485839843,0.9361529597810305,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,germany,11,0.8978504449129104,0.9319067018468095,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,modi,12,0.8680767744779587,0.7495001015190198,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,usa,13,0.8536155253648758,0.6609041290145975,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,russia,14,0.8532592207193375,0.6587212500438758,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,bush,15,0.8352336555719375,0.5482887098332974,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,nyc,16,0.815227821469307,0.4257241710286105,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,libertarianism,17,0.7957131892442704,0.30616895096956825,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,orthodoxy,18,0.7934554070234299,0.2923367840527012,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,chicago,19,0.7866219252347946,0.2504718690705169,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,xi,20,0.78212571144104,0.22292608581690415,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,altman,21,0.7794698089361191,0.20665485893598892,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,amazon,22,0.7693593353033066,0.1447136506091805,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,google,23,0.7545248359441757,0.05383098293219415,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,los_angeles,24,0.7457381695508957,0.0,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,catholicism,25,0.7401087373495102,-0.03448837763801797,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,china,26,0.7197983771562576,-0.15891857721243888,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,meta,27,0.7147655099630356,-0.18975213522546813,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,putin,28,0.7110036104917526,-0.212799185968869,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,japan,29,0.7006100684404373,-0.27647459592836104,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,trotsky,30,0.691189506649971,-0.3341891008675842,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,india,31,0.6844244509935379,-0.37563480726828563,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,christianity,32,0.6603625029325485,-0.5230488841674693,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,kennedy,33,0.6597134202718735,-0.5270254500303886,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,communism,34,0.6547836393117905,-0.5572274564391717,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,musk,35,0.6495626598596573,-0.5892134728870092,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,nixon,36,0.6356431096792221,-0.6744907594765952,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,environmentalism,37,0.6207110852003097,-0.7659709089314759,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,islam,38,0.6181470900774002,-0.7816790707669051,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,stalin,39,0.6048306792974472,-0.863261260112567,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,tesla,40,0.5916205435991287,-0.9441923615655592,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,trump,41,0.5909546762704849,-0.9482717576867941,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,mao,42,0.5556026369333267,-1.1648538994228497,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,lenin,43,0.5417140334844589,-1.249941592723667,False
positive_entity,D1,Qwen/Qwen2.5-1.5B-Instruct,uk,reagan,44,0.5320130616426468,-1.3093740129691498,False
